Date,Entry,Item,Amount,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
"January 1, 2019",Breakfast,Baked Cod - Baked Cod,4.8 oz,166,1g,5g,28g,59mg,552mg,0g,0g
"January 1, 2019",Breakfast,Sweet Potato Soup,2 serving(s),638,103g,15g,32g,52mg,"3,436mg",40g,17g
"January 1, 2019",Breakfast,Thompson Raisins - Raisin,1 c,400,100g,0g,4g,0mg,40mg,92g,8g
"January 1, 2019",Breakfast,"Seeds, sunflower seed kernels, dry roasted, with salt added",1 cup,745,31g,64g,25g,0mg,838mg,3g,12g
"January 1, 2019",Dinner,Baked Cod - Baked Cod,4.8 oz,166,1g,5g,28g,59mg,552mg,0g,0g
"January 1, 2019",Dinner,Sweet Potato Soup,2 serving(s),638,103g,15g,32g,52mg,"3,436mg",40g,17g
"January 1, 2019",Dinner,Thompson Raisins - Raisin,1 c,400,100g,0g,4g,0mg,40mg,92g,8g
"January 1, 2019",Dinner,"Seeds, sunflower seed kernels, dry roasted, with salt added",1 cup,745,31g,64g,25g,0mg,838mg,3g,12g
"January 2, 2019",Breakfast,Chicken - Chicken Breast Boiled Without Skin,1 ounce,56,0g,2g,8g,24mg,20mg,0g,0g
"January 2, 2019",Breakfast,Organics roasted cashews - Cashews,1 oz,160,9g,13g,4g,0mg,95mg,1g,1g
"January 2, 2019",Breakfast,Thai Coconut Curry Soup,1 serving(s),375,18g,31g,6g,0mg,"2,274mg",9g,3g
"January 2, 2019",Breakfast,Sweet Potato - Roasted Slices,0.75 lb(s),300,72g,0g,12g,0mg,120mg,24g,12g
"January 2, 2019",Breakfast,Angus Beef - Hamburger Patty 1/3 lb,1 patty 151g.,320,0g,30g,26g,105mg,105mg,--g,--g
"January 2, 2019",Breakfast,thrive life - freeze dried kale,1.13 C,11,2g,0g,1g,0mg,8mg,0g,2g
"January 2, 2019",Breakfast,"Oil, avocado",1 tbsp,124,0g,14g,0g,0mg,0mg,0g,0g
"January 2, 2019",Breakfast,"Onions, raw, 0.5 cup",chopped,32,7g,0g,1g,0mg,3mg,3g,1g
"January 2, 2019",Breakfast,Organics roasted cashews - Cashews,1 oz,160,9g,13g,4g,0mg,95mg,1g,1g
"January 2, 2019",Breakfast,Organics roasted cashews - Cashews,1 oz,160,9g,13g,4g,0mg,95mg,1g,1g
"January 2, 2019",Dinner,Chicken - Chicken Breast Boiled Without Skin,1 ounce,56,0g,2g,8g,24mg,20mg,0g,0g
"January 2, 2019",Dinner,Organics roasted cashews - Cashews,1 oz,160,9g,13g,4g,0mg,95mg,1g,1g
"January 2, 2019",Dinner,Thai Coconut Curry Soup,1 serving(s),375,18g,31g,6g,0mg,"2,274mg",9g,3g
"January 2, 2019",Dinner,Sweet Potato - Roasted Slices,0.75 lb(s),300,72g,0g,12g,0mg,120mg,24g,12g
"January 2, 2019",Dinner,Angus Beef - Hamburger Patty 1/3 lb,1 patty 151g.,320,0g,30g,26g,105mg,105mg,--g,--g
"January 2, 2019",Dinner,thrive life - freeze dried kale,1.13 C,11,2g,0g,1g,0mg,8mg,0g,2g
"January 2, 2019",Dinner,"Oil, avocado",1 tbsp,124,0g,14g,0g,0mg,0mg,0g,0g
"January 2, 2019",Dinner,"Onions, raw, 0.5 cup",chopped,32,7g,0g,1g,0mg,3mg,3g,1g
"January 2, 2019",Dinner,Organics roasted cashews - Cashews,1 oz,160,9g,13g,4g,0mg,95mg,1g,1g
"January 2, 2019",Dinner,Organics roasted cashews - Cashews,1 oz,160,9g,13g,4g,0mg,95mg,1g,1g
"January 2, 2019",Snacks,Chicken - Chicken Breast Boiled Without Skin,1 ounce,56,0g,2g,8g,24mg,20mg,0g,0g
"January 2, 2019",Snacks,Organics roasted cashews - Cashews,1 oz,160,9g,13g,4g,0mg,95mg,1g,1g
"January 2, 2019",Snacks,Thai Coconut Curry Soup,1 serving(s),375,18g,31g,6g,0mg,"2,274mg",9g,3g
"January 2, 2019",Snacks,Sweet Potato - Roasted Slices,0.75 lb(s),300,72g,0g,12g,0mg,120mg,24g,12g
"January 2, 2019",Snacks,Angus Beef - Hamburger Patty 1/3 lb,1 patty 151g.,320,0g,30g,26g,105mg,105mg,--g,--g
"January 2, 2019",Snacks,thrive life - freeze dried kale,1.13 C,11,2g,0g,1g,0mg,8mg,0g,2g
"January 2, 2019",Snacks,"Oil, avocado",1 tbsp,124,0g,14g,0g,0mg,0mg,0g,0g
"January 2, 2019",Snacks,"Onions, raw, 0.5 cup",chopped,32,7g,0g,1g,0mg,3mg,3g,1g
"January 2, 2019",Snacks,Organics roasted cashews - Cashews,1 oz,160,9g,13g,4g,0mg,95mg,1g,1g
"January 2, 2019",Snacks,Organics roasted cashews - Cashews,1 oz,160,9g,13g,4g,0mg,95mg,1g,1g
"January 3, 2019",Breakfast,Sweet Potato Soup,1 serving(s),319,52g,8g,16g,26mg,"1,718mg",20g,8g
"January 3, 2019",Breakfast,Ham steak - Ham,1 slice,120,2g,6g,13g,45mg,910mg,2g,0g
"January 3, 2019",Breakfast,"Onions, raw, 0.5 cup",chopped,32,7g,0g,1g,0mg,3mg,3g,1g
"January 3, 2019",Breakfast,"Oil, avocado",1 tbsp,124,0g,14g,0g,0mg,0mg,0g,0g
"January 3, 2019",Breakfast,thrive life - freeze dried kale,1.13 C,11,2g,0g,1g,0mg,8mg,0g,2g
"January 3, 2019",Breakfast,Angus Beef - Hamburger Patty 1/3 lb,1 patty 151g.,320,0g,30g,26g,105mg,105mg,--g,--g
"January 3, 2019",Breakfast,Sweet Potato - Roasted Slices,0.75 lb(s),300,72g,0g,12g,0mg,120mg,24g,12g
"January 3, 2019",Breakfast,Organics roasted cashews - Cashews,1 oz,160,9g,13g,4g,0mg,95mg,1g,1g
"January 3, 2019",Lunch,Sweet Potato Soup,1 serving(s),319,52g,8g,16g,26mg,"1,718mg",20g,8g
"January 3, 2019",Lunch,Ham steak - Ham,1 slice,120,2g,6g,13g,45mg,910mg,2g,0g
"January 3, 2019",Lunch,"Onions, raw, 0.5 cup",chopped,32,7g,0g,1g,0mg,3mg,3g,1g
"January 3, 2019",Lunch,"Oil, avocado",1 tbsp,124,0g,14g,0g,0mg,0mg,0g,0g
"January 3, 2019",Lunch,thrive life - freeze dried kale,1.13 C,11,2g,0g,1g,0mg,8mg,0g,2g
"January 3, 2019",Lunch,Angus Beef - Hamburger Patty 1/3 lb,1 patty 151g.,320,0g,30g,26g,105mg,105mg,--g,--g
"January 3, 2019",Lunch,Sweet Potato - Roasted Slices,0.75 lb(s),300,72g,0g,12g,0mg,120mg,24g,12g
"January 3, 2019",Lunch,Organics roasted cashews - Cashews,1 oz,160,9g,13g,4g,0mg,95mg,1g,1g
"January 4, 2019",Lunch,Organics roasted cashews - Cashews,1 oz,160,9g,13g,4g,0mg,95mg,1g,1g
"January 4, 2019",Lunch,Eggs - Hard Boiled - Large,1 egg,78,1g,5g,6g,212mg,62mg,1g,0g
"January 4, 2019",Lunch,Sweet Potato Soup,1 serving(s),319,52g,8g,16g,26mg,"1,718mg",20g,8g
"January 4, 2019",Lunch,"Generic - Chicken Breast - Roasted, No Skin, No Bone",4 oz,148,0g,6g,22g,64mg,300mg,0g,0g
"January 4, 2019",Lunch,Thompson Raisins - Raisin,0.75 c,300,75g,0g,3g,0mg,30mg,69g,6g
"January 4, 2019",Lunch,Organics roasted cashews - Cashews,3 oz,480,27g,39g,12g,0mg,285mg,3g,3g
"January 4, 2019",Dinner,Organics roasted cashews - Cashews,1 oz,160,9g,13g,4g,0mg,95mg,1g,1g
"January 4, 2019",Dinner,Eggs - Hard Boiled - Large,1 egg,78,1g,5g,6g,212mg,62mg,1g,0g
"January 4, 2019",Dinner,Sweet Potato Soup,1 serving(s),319,52g,8g,16g,26mg,"1,718mg",20g,8g
"January 4, 2019",Dinner,"Generic - Chicken Breast - Roasted, No Skin, No Bone",4 oz,148,0g,6g,22g,64mg,300mg,0g,0g
"January 4, 2019",Dinner,Thompson Raisins - Raisin,0.75 c,300,75g,0g,3g,0mg,30mg,69g,6g
"January 4, 2019",Dinner,Organics roasted cashews - Cashews,3 oz,480,27g,39g,12g,0mg,285mg,3g,3g
"January 4, 2019",Snacks,Organics roasted cashews - Cashews,1 oz,160,9g,13g,4g,0mg,95mg,1g,1g
"January 4, 2019",Snacks,Eggs - Hard Boiled - Large,1 egg,78,1g,5g,6g,212mg,62mg,1g,0g
"January 4, 2019",Snacks,Sweet Potato Soup,1 serving(s),319,52g,8g,16g,26mg,"1,718mg",20g,8g
"January 4, 2019",Snacks,"Generic - Chicken Breast - Roasted, No Skin, No Bone",4 oz,148,0g,6g,22g,64mg,300mg,0g,0g
"January 4, 2019",Snacks,Thompson Raisins - Raisin,0.75 c,300,75g,0g,3g,0mg,30mg,69g,6g
"January 4, 2019",Snacks,Organics roasted cashews - Cashews,3 oz,480,27g,39g,12g,0mg,285mg,3g,3g
"January 5, 2019",Breakfast,Thai Coconut Curry Soup,1 serving(s),375,18g,31g,6g,0mg,"2,274mg",9g,3g
"January 5, 2019",Breakfast,Chicken - Chicken Breast Boiled Without Skin,1 ounce,56,0g,2g,8g,24mg,20mg,0g,0g
"January 5, 2019",Breakfast,Organics roasted cashews - Cashews,1 oz,160,9g,13g,4g,0mg,95mg,1g,1g
"January 5, 2019",Breakfast,Thompson Raisins - Raisin,0.75 c,300,75g,0g,3g,0mg,30mg,69g,6g
"January 5, 2019",Breakfast,Organics roasted cashews - Cashews,3 oz,480,27g,39g,12g,0mg,285mg,3g,3g
"January 5, 2019",Dinner,Thai Coconut Curry Soup,1 serving(s),375,18g,31g,6g,0mg,"2,274mg",9g,3g
"January 5, 2019",Dinner,Chicken - Chicken Breast Boiled Without Skin,1 ounce,56,0g,2g,8g,24mg,20mg,0g,0g
"January 5, 2019",Dinner,Organics roasted cashews - Cashews,1 oz,160,9g,13g,4g,0mg,95mg,1g,1g
"January 5, 2019",Dinner,Thompson Raisins - Raisin,0.75 c,300,75g,0g,3g,0mg,30mg,69g,6g
"January 5, 2019",Dinner,Organics roasted cashews - Cashews,3 oz,480,27g,39g,12g,0mg,285mg,3g,3g
"January 6, 2019",Breakfast,Mezzetta - Roasted Garlic & Carmelized Onion Sauce,1 cup,200,22g,10g,4g,0mg,"1,020mg",12g,6g
"January 6, 2019",Breakfast,"Produce - Broccholi, Chopped, Boiled",0.5 cup (78g),27,6g,0g,2g,--mg,32mg,1g,3g
"January 6, 2019",Breakfast,Thrive - Sausage Crumbles,0.25 cup,135,1g,12g,8g,28mg,280mg,0g,0g
"January 6, 2019",Breakfast,Eggs - Hard Boiled - Large,1 egg,78,1g,5g,6g,212mg,62mg,1g,0g
"January 6, 2019",Breakfast,Organics roasted cashews - Cashews,1 oz,160,9g,13g,4g,0mg,95mg,1g,1g
"January 6, 2019",Breakfast,Sweet Potato Soup,1 serving(s),319,52g,8g,16g,26mg,"1,718mg",20g,8g
"January 6, 2019",Breakfast,Dole - Pineapple Slice,1 slices,30,8g,0g,1g,0mg,5mg,7g,1g
"January 6, 2019",Breakfast,Sweet Potato - Roasted Slices,0.75 lb(s),300,72g,0g,12g,0mg,120mg,24g,12g
"January 6, 2019",Breakfast,Angus Beef - Hamburger Patty 1/3 lb,1 patty 151g.,320,0g,30g,26g,105mg,105mg,--g,--g
"January 6, 2019",Breakfast,"Oil, avocado",1 tbsp,124,0g,14g,0g,0mg,0mg,0g,0g
"January 6, 2019",Breakfast,"Onions, raw, 0.5 cup",chopped,32,7g,0g,1g,0mg,3mg,3g,1g
"January 6, 2019",Breakfast,Organics roasted cashews - Cashews,3 oz,480,27g,39g,12g,0mg,285mg,3g,3g
"January 6, 2019",Lunch,Mezzetta - Roasted Garlic & Carmelized Onion Sauce,1 cup,200,22g,10g,4g,0mg,"1,020mg",12g,6g
"January 6, 2019",Lunch,"Produce - Broccholi, Chopped, Boiled",0.5 cup (78g),27,6g,0g,2g,--mg,32mg,1g,3g
"January 6, 2019",Lunch,Thrive - Sausage Crumbles,0.25 cup,135,1g,12g,8g,28mg,280mg,0g,0g
"January 6, 2019",Lunch,Eggs - Hard Boiled - Large,1 egg,78,1g,5g,6g,212mg,62mg,1g,0g
"January 6, 2019",Lunch,Organics roasted cashews - Cashews,1 oz,160,9g,13g,4g,0mg,95mg,1g,1g
"January 6, 2019",Lunch,Sweet Potato Soup,1 serving(s),319,52g,8g,16g,26mg,"1,718mg",20g,8g
"January 6, 2019",Lunch,Dole - Pineapple Slice,1 slices,30,8g,0g,1g,0mg,5mg,7g,1g
"January 6, 2019",Lunch,Sweet Potato - Roasted Slices,0.75 lb(s),300,72g,0g,12g,0mg,120mg,24g,12g
"January 6, 2019",Lunch,Angus Beef - Hamburger Patty 1/3 lb,1 patty 151g.,320,0g,30g,26g,105mg,105mg,--g,--g
"January 6, 2019",Lunch,"Oil, avocado",1 tbsp,124,0g,14g,0g,0mg,0mg,0g,0g
"January 6, 2019",Lunch,"Onions, raw, 0.5 cup",chopped,32,7g,0g,1g,0mg,3mg,3g,1g
"January 6, 2019",Lunch,Organics roasted cashews - Cashews,3 oz,480,27g,39g,12g,0mg,285mg,3g,3g
